review_id,product,review_text,rating,date
R-2959,Smartphone,"Poor battery life, disappointed.",2,2025-10-30
R-4354,Smartphone,"Value for money, highly recommended.",2,2025-10-31
R-9838,Tablet,"Customer support was unhelpful, but the product is okay.",4,2025-12-20
R-1592,Laptop,Best purchase of the year!,5,2025-10-18
R-1419,Tablet,Overpriced for what it offers.,2,2025-11-04
R-5630,Smartwatch,Sleek design and great features.,1,2025-11-06
R-5202,Headphones,Overpriced for what it offers.,5,2026-01-15
R-9068,Headphones,The screen is amazing but it's a bit heavy.,5,2025-12-26
R-5378,Headphones,Overpriced for what it offers.,5,2025-10-16
R-8282,Laptop,"Poor battery life, disappointed.",1,2025-10-16
R-6840,Laptop,Sleek design and great features.,1,2025-11-25
R-9954,Smartwatch,"Excellent product, very fast!",3,2025-10-11
R-4314,Smartphone,The screen is amazing but it's a bit heavy.,3,2025-12-26
R-3120,Smartphone,"Excellent product, very fast!",1,2025-11-02
R-5936,Tablet,Sleek design and great features.,3,2025-12-08
R-7648,Smartwatch,The screen is amazing but it's a bit heavy.,3,2025-12-01
R-3467,Smartphone,"Customer support was unhelpful, but the product is okay.",1,2025-10-28
R-2195,Smartphone,Sleek design and great features.,5,2026-01-07
R-6854,Tablet,"Customer support was unhelpful, but the product is okay.",4,2026-01-04
R-2391,Tablet,Sleek design and great features.,2,2026-01-17
R-2328,Headphones,Decent performance for the price.,1,2025-11-08
R-7397,Smartwatch,"Excellent product, very fast!",3,2025-11-24
R-5831,Smartwatch,"Value for money, highly recommended.",4,2025-12-26
R-4608,Headphones,"Poor battery life, disappointed.",2,2025-11-01
R-3166,Smartphone,"Customer support was unhelpful, but the product is okay.",2,2026-01-16
R-5027,Laptop,Overpriced for what it offers.,5,2025-12-23
R-8735,Smartphone,"Value for money, highly recommended.",5,2025-12-31
R-3759,Smartphone,"Customer support was unhelpful, but the product is okay.",4,2025-11-22
R-3587,Smartwatch,Stopped working after two days. Terrible experience.,3,2025-11-23
R-1927,Laptop,Sleek design and great features.,1,2025-10-15
R-2975,Laptop,Decent performance for the price.,3,2026-01-06
R-8985,Headphones,Best purchase of the year!,2,2025-10-11
R-1290,Laptop,Stopped working after two days. Terrible experience.,2,2025-11-08
R-1129,Tablet,Decent performance for the price.,4,2025-11-24
R-1727,Smartwatch,"Value for money, highly recommended.",5,2025-11-03
R-3111,Laptop,Best purchase of the year!,4,2025-10-30
R-2975,Smartwatch,The screen is amazing but it's a bit heavy.,5,2025-12-11
R-2782,Smartwatch,The screen is amazing but it's a bit heavy.,4,2025-11-26
R-1541,Smartphone,"Poor battery life, disappointed.",4,2026-01-11
R-9207,Tablet,"Excellent product, very fast!",3,2025-11-29
R-9867,Headphones,The screen is amazing but it's a bit heavy.,1,2025-10-24
R-5937,Smartwatch,Stopped working after two days. Terrible experience.,4,2026-01-08
R-8336,Headphones,Stopped working after two days. Terrible experience.,2,2025-11-24
R-5027,Laptop,Sleek design and great features.,4,2025-12-09
R-3098,Headphones,"Customer support was unhelpful, but the product is okay.",3,2026-01-11
R-5862,Smartphone,Best purchase of the year!,1,2025-11-16
R-9413,Headphones,Stopped working after two days. Terrible experience.,2,2026-01-11
R-8972,Smartwatch,Stopped working after two days. Terrible experience.,1,2025-12-20
R-6957,Headphones,Overpriced for what it offers.,2,2025-11-03
R-2528,Headphones,Stopped working after two days. Terrible experience.,1,2025-10-27
R-6353,Headphones,The screen is amazing but it's a bit heavy.,3,2026-01-08
R-3003,Smartphone,Stopped working after two days. Terrible experience.,1,2025-12-21
R-9175,Tablet,"Value for money, highly recommended.",5,2025-12-03
R-7092,Smartwatch,Stopped working after two days. Terrible experience.,1,2026-01-04
R-8228,Laptop,Sleek design and great features.,1,2025-12-22
R-1229,Laptop,Best purchase of the year!,3,2025-10-19
R-8576,Smartwatch,"Poor battery life, disappointed.",5,2025-11-30
R-4861,Laptop,"Excellent product, very fast!",1,2026-01-15
R-1396,Smartphone,Decent performance for the price.,3,2025-12-25
R-1493,Headphones,Best purchase of the year!,2,2025-12-06
R-1948,Tablet,Best purchase of the year!,1,2025-12-14
